"","p","freq","mu_a","lambda_eff","N","beta_eff","mu_l","mu_h","mu_BB","mu_AB","mu_AA","species"
"154",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.0540721318367347,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"155",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.0666167224489796,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"156",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.0791613130612245,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"157",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.0917059036734694,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"158",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.104250494285714,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"159",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.116795084897959,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"160",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.129339675510204,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"161",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.141884266122449,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"162",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.154428856734694,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"163",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.166973447346939,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"164",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.179518037959184,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"165",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.192062628571429,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"166",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.204607219183674,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"167",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.217151809795918,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"168",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.229696400408163,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
